inodbc nodname bctyp
1 1 5
2 7 7
3 11 9
4 14 6
5 17 7
6 29 7
7 42 7
8 47 9
9 51 9
10 58 4
11 67 9
12 72 9
13 81 4
14 83 7
15 84 7
16 87 4
17 95 9
18 99 9
19 102 6
20 107 9
21 111 9
22 118 9
23 130 9
24 145 9
25 153 6
26 155 6
27 165 6
28 173 6
29 182 9
30 185 6
31 206 9
32 214 6
33 215 6
34 220 9
35 232 6
36 239 6
37 240 6
38 246 6
39 254 9
40 258 6
41 264 9
42 269 9
43 277 6
44 286 6
45 288 6
46 303 6
47 312 9
48 316 9
49 323 9
50 330 6
51 338 9
52 347 9
53 351 9
54 358 6
55 360 9
56 379 9
57 381 9
58 397 6
59 403 9
60 414 6
61 424 9
62 429 6
63 430 9
64 436 6
65 439 6
66 441 9
67 449 9
68 457 9
69 465 9
70 477 6
71 486 6
72 490 9
73 493 9
74 501 9
75 503 6
76 510 9
77 521 6
78 530 9
79 539 9
80 549 6
81 559 9
82 564 9
83 569 9
84 575 6
85 581 9
86 588 9
87 598 9
88 603 9
89 610 6
90 617 6
91 625 9
92 642 6
93 649 9
94 652 9
95 653 9
96 655 9
97 658 9
98 666 9
99 674 6
100 678 9
101 680 9
102 684 6
103 692 6
104 693 6
105 701 6
106 703 9
107 714 6
108 722 6
109 737 9
110 745 9
111 752 9
112 757 9
113 764 6
114 771 9
115 773 9
116 776 9
117 785 9
118 788 6
119 792 9
120 796 9
121 803 9
122 805 9
123 817 9
124 820 6
125 829 6
126 831 6
127 832 9
128 838 6
129 839 6
130 848 6
131 851 9
132 858 6
133 870 9
134 879 8
135 885 6
136 903 6
137 907 9
138 919 6
139 920 6
140 928 9
141 934 6
142 942 6
143 943 9
144 946 9
145 947 9
146 951 9
147 961 9
148 964 9
149 969 9
150 978 9
151 988 6
152 989 6
153 990 6
154 1009 9
155 1012 6
156 1021 6
157 1032 6
158 1041 6
159 1052 6
160 1077 6
161 1086 6
162 1093 6
163 1098 6
164 1100 6
165 1104 6
166 1106 9
167 1121 9
168 1134 9
169 1136 9
170 1144 6
171 1156 9
172 1159 9
173 1164 4
174 1173 9
175 1175 9
176 1182 6
177 1187 9
178 1191 9
179 1204 4
180 1211 9
181 1215 6
182 1222 9
183 1227 9
184 1237 6
185 1238 6
186 1243 9
187 1244 6
188 1250 4
189 1251 6
190 1262 6
191 1268 6
192 1278 9
193 1287 6
194 1296 6
195 1302 9
196 1306 6
197 1316 6
198 1326 6
199 1331 6
200 1336 9
201 1340 7
202 1351 9
203 1361 9
204 1369 6
205 1377 9
206 1385 9
207 1390 9
208 1397 9
209 1408 6
210 1417 9
211 1425 6
212 1448 9
213 1450 6
214 1460 9
215 1469 9
216 1476 4
217 1479 4
218 1486 6
219 1487 6
220 1492 9
221 1504 6
222 1516 9
223 1521 9
224 1529 6
225 1553 7
226 1571 6
227 1583 6
228 1598 6
229 1600 9
230 1608 9
231 1618 9
232 1620 9
233 1624 9
234 1635 6
235 1645 9
236 1655 6
237 1663 6
238 1670 9
239 1676 6
240 1681 6
241 1685 9
242 1689 9
243 1690 6
244 1697 9
245 1707 6
246 1711 9
247 1712 6
248 1718 6
249 1726 9
250 1731 9
251 1738 6
252 1748 6
253 1750 6
254 1754 6
255 1768 6
256 1774 9
257 1790 6
258 1803 6
259 1805 6
260 1807 9
261 1815 9
262 1823 6
263 1831 9
264 1832 6
265 1838 6
266 1841 9
267 1863 6
268 1871 6
269 1879 9
270 1883 9
271 1895 9
272 1898 6
273 1900 6
274 1906 6
275 1912 6
276 1919 9
277 1921 9
278 1929 6
279 1936 6
280 1947 6
281 1955 6
282 1963 6
283 1971 6
284 1972 9
285 1980 9
286 1988 9
287 1997 6
288 2008 9
289 2027 6
290 2039 6
291 2043 7
292 2045 6
293 2055 4
294 2069 8
295 2073 4
296 2082 8
